item_text,trait,keyed,item_no,facet
Worry about things.,neuroticism,+,1,N1: Anxiety
Make friends easily.,extraversion,+,2,E1: Friendliness
Have a vivid imagination.,openness,+,3,O1: Imagination
Trust others.,agreeableness,+,4,A1: Trust
Complete tasks successfully.,conscientiousness,+,5,C1: Self-Efficacy
Get angry easily.,neuroticism,+,6,N2: Anger
Love large parties.,extraversion,+,7,E2: Gregariousness
Believe in the importance of art.,openness,+,8,O2: Artistic Interests
Use others for my own ends.,agreeableness,-,9,A2: Morality
Like to tidy up.,conscientiousness,+,10,C2: Orderliness
Often feel blue.,neuroticism,+,11,N3: Depression
Take charge.,extraversion,+,12,E3: Assertiveness
Experience my emotions intensely.,openness,+,13,O3: Emotionality
Love to help others.,agreeableness,+,14,A3: Altruism
Keep my promises.,conscientiousness,+,15,C3: Dutifulness
Find it difficult to approach others.,neuroticism,+,16,N4: Self-Consciousness
Am always busy.,extraversion,+,17,E4: Activity Level
Prefer variety to routine.,openness,+,18,O4: Adventurousness
Love a good fight.,agreeableness,-,19,A4: Cooperation
Work hard.,conscientiousness,+,20,C4: Achievement-Striving
Go on binges.,neuroticism,+,21,N5: Immoderation
Love excitement.,extraversion,+,22,E5: Excitement-Seeking
Love to read challenging material.,openness,+,23,O5: Intellect
Believe that I am better than others.,agreeableness,-,24,A5: Modesty
Am always prepared.,conscientiousness,+,25,C5: Self-Discipline
Panic easily.,neuroticism,+,26,N6: Vulnerability
Radiate joy.,extraversion,+,27,E6: Cheerfulness
Tend to vote for liberal political candidates.,openness,+,28,O6: Liberalism
Sympathize with the homeless.,agreeableness,+,29,A6: Sympathy
Jump into things without thinking.,conscientiousness,-,30,C6: Cautiousness
Fear for the worst.,neuroticism,+,31,N1: Anxiety
Feel comfortable around people.,extraversion,+,32,E1: Friendliness
Enjoy wild flights of fantasy.,openness,+,33,O1: Imagination
Believe that others have good intentions.,agreeableness,+,34,A1: Trust
Excel in what I do.,conscientiousness,+,35,C1: Self-Efficacy
Get irritated easily.,neuroticism,+,36,N2: Anger
Talk to a lot of different people at parties.,extraversion,+,37,E2: Gregariousness
See beauty in things that others might not notice.,openness,+,38,O2: Artistic Interests
Cheat to get ahead.,agreeableness,-,39,A2: Morality
Often forget to put things back in their proper place.,conscientiousness,-,40,C2: Orderliness
Dislike myself.,neuroticism,+,41,N3: Depression
Try to lead others.,extraversion,+,42,E3: Assertiveness
Feel others' emotions.,openness,+,43,O3: Emotionality
Am concerned about others.,agreeableness,+,44,A3: Altruism
Tell the truth.,conscientiousness,+,45,C3: Dutifulness
Am afraid to draw attention to myself.,neuroticism,+,46,N4: Self-Consciousness
Am always on the go.,extraversion,+,47,E4: Activity Level
Prefer to stick with things that I know.,openness,-,48,O4: Adventurousness
Yell at people.,agreeableness,-,49,A4: Cooperation
Do more than what's expected of me.,conscientiousness,+,50,C4: Achievement-Striving
Rarely overindulge.,neuroticism,-,51,N5: Immoderation
Seek adventure.,extraversion,+,52,E5: Excitement-Seeking
Avoid philosophical discussions.,openness,-,53,O5: Intellect
Think highly of myself.,agreeableness,-,54,A5: Modesty
Carry out my plans.,conscientiousness,+,55,C5: Self-Discipline
Become overwhelmed by events.,neuroticism,+,56,N6: Vulnerability
Have a lot of fun.,extraversion,+,57,E6: Cheerfulness
Believe that there is no absolute right and wrong.,openness,+,58,O6: Liberalism
Feel sympathy for those who are worse off than myself.,agreeableness,+,59,A6: Sympathy
Make rash decisions.,conscientiousness,-,60,C6: Cautiousness
Am afraid of many things.,neuroticism,+,61,N1: Anxiety
Avoid contacts with others.,extraversion,-,62,E1: Friendliness
Love to daydream.,openness,+,63,O1: Imagination
Trust what people say.,agreeableness,+,64,A1: Trust
Handle tasks smoothly.,conscientiousness,+,65,C1: Self-Efficacy
Lose my temper.,neuroticism,+,66,N2: Anger
Prefer to be alone.,extraversion,-,67,E2: Gregariousness
Do not like poetry.,openness,-,68,O2: Artistic Interests
Take advantage of others.,agreeableness,-,69,A2: Morality
Leave a mess in my room.,conscientiousness,-,70,C2: Orderliness
