anchor,metric,reference_effect,n_cells,same_sign,stability,min_effect,max_effect,d_unperturbed,d_er,d_feed,d_mem,d_qwen,d_rho_hi,d_rho_lo,d_temp,d_ws
openness_high,pol_var,-0.31785624999999995,9,9,1.0,-0.31785624999999995,-0.06743333333333368,-0.31785624999999995,-0.06743333333333368,-0.1415333333333335,-0.12718333333333298,-0.14131666666666676,-0.2330500000000002,-0.29701666666666626,-0.14401666666666624,-0.22950000000000004
openness_high,pol_extremity,0.1468750000000001,9,8,0.8888888888888888,-0.06833333333333336,0.23666666666666658,0.1468750000000001,0.21666666666666656,0.18333333333333335,0.19166666666666687,-0.06833333333333336,0.12166666666666703,0.15166666666666662,0.15833333333333344,0.23666666666666658
openness_high,crosscut_rate,-0.06299789752177762,9,9,1.0,-0.1443471971419653,-0.04472934764845732,-0.06299789752177762,-0.07346364499163771,-0.112439582840183,-0.07011056951306067,-0.04472934764845732,-0.11865860139841401,-0.07559195858408366,-0.08757750313230132,-0.1443471971419653
openness_high,pol_ei,0.12921982232243284,9,9,1.0,0.019637372211405768,0.19651813243880834,0.12921982232243284,0.019637372211405768,0.19651813243880834,0.11284308841978113,0.08312252541909268,0.14702781817541433,0.13190451251183472,0.133470964751014,0.09290853260074727
openness_high,CI_accuracy_z,-0.0764771788451043,9,6,0.6666666666666666,-0.12103513290686889,0.0400575761522695,-0.0764771788451043,-0.12103513290686889,0.0400575761522695,0.03044966735022433,-0.07819869521041886,0.024424134600913465,-0.010170924265284029,-0.052508017348097666,-0.0594010484004288
openness_high,CI_hidden_profile_rate,-0.027499999999999886,9,5,0.5555555555555556,-0.027499999999999886,0.02000000000000003,-0.027499999999999886,-0.015000000000000013,-0.003333333333333327,0.011666666666666659,-0.0016666666666666668,0.02000000000000003,0.00500000000000031,0.008333333333333345,-0.021666666666667014
neuroticism_high,pol_var,0.25999375,9,9,1.0,0.07554999999999978,0.2913833333333329,0.25999375,0.13763333333333305,0.12304999999999988,0.18795000000000006,0.08246666666666691,0.1294833333333334,0.07554999999999978,0.20256666666666723,0.2913833333333329
neuroticism_high,pol_extremity,0.23437500000000022,9,9,1.0,0.20666666666666678,0.3550000000000002,0.23437500000000022,0.2466666666666666,0.29833333333333334,0.28166666666666673,0.20666666666666678,0.26833333333333353,0.27500000000000013,0.2333333333333334,0.3550000000000002
neuroticism_high,crosscut_rate,0.016371191861700995,9,3,0.3333333333333333,-0.04104382579131735,0.0680535180112937,0.016371191861700995,-0.028661835282154713,-0.025895772274569018,0.012380966755427325,0.0680535180112937,-0.04104382579131735,-0.03918068550645065,-0.003903568474067004,-0.008808598200728296
neuroticism_high,pol_ei,0.1254507472213991,9,9,1.0,0.11124849935621334,0.2502087781426435,0.1254507472213991,0.11124849935621334,0.2502087781426435,0.17692490182151865,0.15797846249809924,0.20873228493608492,0.202375565681637,0.18904085980037072,0.1350433431189531
neuroticism_high,CI_accuracy_z,0.03787266233759697,9,7,0.7777777777777778,-0.0362160797328719,0.15987494437870317,0.03787266233759697,-0.0362160797328719,0.014109951173151569,0.052978116804984224,0.08045496956521854,0.15987494437870317,0.016156725524764867,-0.01079074417226513,0.07439382535484082
neuroticism_high,CI_hidden_profile_rate,0.00437499999999999,9,2,0.2222222222222222,-0.026666666666666672,0.006666666666666682,0.00437499999999999,-0.011666666666666672,-0.011666666666666659,-0.0050000000000000044,-0.0016666666666666668,0.006666666666666682,-0.018333333333333354,-0.026666666666666672,-0.018333333333333354
