item_id,truth,median_rel_error,log_spread,n_parsed,kept
wb_bgd_elec,99.4,0.1247,0.02,20,False
wb_per_forest,721575.333,0.8979,1.3228,20,True
wb_mar_gdppc,3813.72607421875,0.099,0.0601,20,False
wb_uzb_pop,35652307.0,0.0222,0.6468,20,False
wb_zmb_fert,4.175,0.0898,0.0403,20,False
wb_ecu_urban,63.1307729554263,0.1088,0.0304,20,False
wb_lka_exports,21.5595624612904,0.2115,0.1395,20,True
wb_tun_unemp,15.106,0.2284,0.1079,20,True
wb_gha_health,94.40388489,0.5286,0.3359,20,True
wb_bol_life,67.434,0.0677,0.0049,20,False
wb_npl_gdp,41049329851.0546,0.9642,1.1273,20,True
wb_pry_internet,76.25916611,0.187,0.0408,20,True
wb_ken_pop,55339003.0,0.0286,0.0061,20,False
wb_deu_life,80.6080487804878,0.0286,0.0068,20,False
