reply_total,reply_cross,reply_within,pairs_opposing,pairs_possible,frac_nonzero,n_posts,config,seed,crosscut_rate,pol_ei,pol_var
403,49,307,4158,16744,0.92,1242,e1_norm_baseline,911,0.13764044943820225,,
467,96,336,5626,16260,0.905,1219,e1_norm_baseline,912,0.2222222222222222,,
638,11,616,3840,18074,0.9550000000000001,1241,e1_agreeableness_high,911,0.017543859649122806,,
559,39,501,4298,18642,0.97,1221,e1_agreeableness_high,912,0.07276119402985075,,
652,138,509,4876,19602,0.995,1253,e1_neuroticism_high,911,0.2132921174652241,,
514,100,414,5192,19406,0.99,1229,e1_neuroticism_high,912,0.19455252918287938,,
689,36,591,2690,18248,0.96,1246,e2_homog,911,0.05741626794258373,,
715,45,612,2560,17862,0.95,1226,e2_homog,912,0.0684931506849315,,
447,70,303,4342,14982,0.87,1245,e2_diverse,911,0.1917808219178082,,
466,80,310,7014,17684,0.9450000000000001,1231,e2_diverse,912,0.20512820512820512,,
