round,topic,agent,opinion
0,T_guncontrol,0,-1
0,T_guncontrol,1,-2
0,T_guncontrol,2,0
0,T_guncontrol,3,-1
0,T_guncontrol,4,1
0,T_guncontrol,5,-1
0,T_guncontrol,6,-1
0,T_guncontrol,7,-1
0,T_guncontrol,8,2
0,T_guncontrol,9,0
0,T_guncontrol,10,1
0,T_guncontrol,11,-1
0,T_guncontrol,12,2
0,T_guncontrol,13,0
0,T_guncontrol,14,-2
0,T_guncontrol,15,-1
0,T_guncontrol,16,1
0,T_guncontrol,17,-1
0,T_guncontrol,18,2
0,T_guncontrol,19,1
0,T_guncontrol,20,1
0,T_guncontrol,21,2
0,T_guncontrol,22,-1
0,T_guncontrol,23,-1
0,T_guncontrol,24,2
0,T_guncontrol,25,-1
0,T_guncontrol,26,1
0,T_guncontrol,27,2
0,T_guncontrol,28,2
0,T_guncontrol,29,-1
0,T_guncontrol,30,-1
0,T_guncontrol,31,-1
0,T_guncontrol,32,0
0,T_guncontrol,33,-2
0,T_guncontrol,34,1
0,T_guncontrol,35,-1
0,T_guncontrol,36,-2
0,T_guncontrol,37,-1
0,T_guncontrol,38,2
0,T_guncontrol,39,-2
0,T_guncontrol,40,0
0,T_guncontrol,41,1
0,T_guncontrol,42,2
0,T_guncontrol,43,0
0,T_guncontrol,44,-1
0,T_guncontrol,45,1
0,T_guncontrol,46,1
0,T_guncontrol,47,1
0,T_guncontrol,48,2
0,T_guncontrol,49,-1
0,T_guncontrol,50,1
0,T_guncontrol,51,2
0,T_guncontrol,52,-1
0,T_guncontrol,53,-2
0,T_guncontrol,54,1
0,T_guncontrol,55,-1
0,T_guncontrol,56,2
0,T_guncontrol,57,-1
0,T_guncontrol,58,-1
0,T_guncontrol,59,-2
0,T_guncontrol,60,2
0,T_guncontrol,61,1
0,T_guncontrol,62,0
0,T_guncontrol,63,2
0,T_guncontrol,64,-1
0,T_guncontrol,65,-1
0,T_guncontrol,66,-2
0,T_guncontrol,67,2
0,T_guncontrol,68,1
0,T_guncontrol,69,1
0,T_guncontrol,70,-1
0,T_guncontrol,71,-1
0,T_guncontrol,72,2
