round,topic,agent,opinion
0,T_guncontrol,0,2
0,T_guncontrol,1,-1
0,T_guncontrol,2,1
0,T_guncontrol,3,-1
0,T_guncontrol,4,1
0,T_guncontrol,5,-1
0,T_guncontrol,6,2
0,T_guncontrol,7,1
0,T_guncontrol,8,-1
0,T_guncontrol,9,-2
0,T_guncontrol,10,-1
0,T_guncontrol,11,1
0,T_guncontrol,12,1
0,T_guncontrol,13,-1
0,T_guncontrol,14,2
0,T_guncontrol,15,2
0,T_guncontrol,16,-1
0,T_guncontrol,17,-1
0,T_guncontrol,18,1
0,T_guncontrol,19,0
0,T_guncontrol,20,0
0,T_guncontrol,21,0
0,T_guncontrol,22,2
0,T_guncontrol,23,1
0,T_guncontrol,24,2
0,T_guncontrol,25,-1
0,T_guncontrol,26,-1
0,T_guncontrol,27,1
0,T_guncontrol,28,-1
0,T_guncontrol,29,0
0,T_guncontrol,30,-1
0,T_guncontrol,31,2
0,T_guncontrol,32,2
0,T_guncontrol,33,0
0,T_guncontrol,34,2
0,T_guncontrol,35,2
0,T_guncontrol,36,-1
0,T_guncontrol,37,-2
0,T_guncontrol,38,1
0,T_guncontrol,39,1
0,T_guncontrol,40,0
0,T_guncontrol,41,-2
0,T_guncontrol,42,-1
0,T_guncontrol,43,1
0,T_guncontrol,44,-1
0,T_guncontrol,45,-1
0,T_guncontrol,46,2
0,T_guncontrol,47,2
0,T_guncontrol,48,-2
0,T_guncontrol,49,-1
0,T_guncontrol,50,-2
0,T_guncontrol,51,2
0,T_guncontrol,52,-1
0,T_guncontrol,53,2
0,T_guncontrol,54,2
0,T_guncontrol,55,-2
0,T_guncontrol,56,0
0,T_guncontrol,57,1
0,T_guncontrol,58,1
0,T_guncontrol,59,0
0,T_guncontrol,60,1
0,T_guncontrol,61,0
0,T_guncontrol,62,2
0,T_guncontrol,63,-1
0,T_guncontrol,64,1
0,T_guncontrol,65,-1
0,T_guncontrol,66,-1
0,T_guncontrol,67,-1
0,T_guncontrol,68,2
0,T_guncontrol,69,-2
0,T_guncontrol,70,2
0,T_guncontrol,71,0
0,T_guncontrol,72,0
0,T_guncontrol,73,1
0,T_guncontrol,74,2
0,T_guncontrol,75,1
0,T_guncontrol,76,2
0,T_guncontrol,77,2
0,T_guncontrol,78,2
0,T_guncontrol,79,-1
0,T_guncontrol,80,-1
0,T_guncontrol,81,2
0,T_guncontrol,82,2
0,T_guncontrol,83,2
0,T_guncontrol,84,1
0,T_guncontrol,85,0
0,T_guncontrol,86,2
0,T_guncontrol,87,1
0,T_guncontrol,88,2
0,T_guncontrol,89,1
0,T_guncontrol,90,-1
0,T_guncontrol,91,-1
0,T_guncontrol,92,2
0,T_guncontrol,93,0
0,T_guncontrol,94,1
0,T_guncontrol,95,-1
0,T_guncontrol,96,2
0,T_guncontrol,97,2
0,T_guncontrol,98,-1
0,T_guncontrol,99,1
0,T_immigration,0,1
0,T_immigration,1,2
0,T_immigration,2,1
0,T_immigration,3,1
0,T_immigration,4,1
0,T_immigration,5,1
0,T_immigration,6,-1
0,T_immigration,7,0
0,T_immigration,8,-1
0,T_immigration,9,0
0,T_immigration,10,-2
0,T_immigration,11,-2
