round,topic,agent,opinion
0,T_guncontrol,0,-1
0,T_guncontrol,1,-2
0,T_guncontrol,2,-1
0,T_guncontrol,3,2
0,T_guncontrol,4,2
0,T_guncontrol,5,0
0,T_guncontrol,6,2
0,T_guncontrol,7,1
0,T_guncontrol,8,-1
0,T_guncontrol,9,-1
0,T_guncontrol,10,1
0,T_guncontrol,11,-1
0,T_guncontrol,12,-1
0,T_guncontrol,13,1
0,T_guncontrol,14,1
0,T_guncontrol,15,0
0,T_guncontrol,16,2
0,T_guncontrol,17,0
0,T_guncontrol,18,2
0,T_guncontrol,19,0
0,T_guncontrol,20,2
0,T_guncontrol,21,2
0,T_guncontrol,22,1
0,T_guncontrol,23,1
0,T_guncontrol,24,-2
0,T_guncontrol,25,2
0,T_guncontrol,26,2
0,T_guncontrol,27,-1
0,T_guncontrol,28,1
0,T_guncontrol,29,2
0,T_guncontrol,30,1
0,T_guncontrol,31,1
0,T_guncontrol,32,1
0,T_guncontrol,33,1
0,T_guncontrol,34,2
0,T_guncontrol,35,1
0,T_guncontrol,36,2
0,T_guncontrol,37,-2
0,T_guncontrol,38,-1
0,T_guncontrol,39,1
0,T_guncontrol,40,1
0,T_guncontrol,41,1
0,T_guncontrol,42,-1
0,T_guncontrol,43,1
0,T_guncontrol,44,1
0,T_guncontrol,45,-2
0,T_guncontrol,46,1
0,T_guncontrol,47,1
0,T_guncontrol,48,1
0,T_guncontrol,49,2
0,T_guncontrol,50,1
0,T_guncontrol,51,1
0,T_guncontrol,52,1
0,T_guncontrol,53,1
0,T_guncontrol,54,1
0,T_guncontrol,55,2
0,T_guncontrol,56,-1
0,T_guncontrol,57,1
0,T_guncontrol,58,1
0,T_guncontrol,59,-2
0,T_guncontrol,60,1
0,T_guncontrol,61,1
0,T_guncontrol,62,1
0,T_guncontrol,63,0
0,T_guncontrol,64,1
0,T_guncontrol,65,-2
0,T_guncontrol,66,-1
0,T_guncontrol,67,2
0,T_guncontrol,68,1
0,T_guncontrol,69,2
0,T_guncontrol,70,-1
0,T_guncontrol,71,-1
0,T_guncontrol,72,-1
0,T_guncontrol,73,0
